region;Depression_rate2022;GINI;GPI;Avg_temp;Education_idx;GDP_pc;Urbanisation;Internet_usage
Nicaragua;4.2;46.2;2.334;24.9;0.573;5575;59;30.4
Niger;3.4;34.3;2.655;27.15;0.249;1259;16.6;10.22431156
Nigeria;3.9;35.1;2.725;26.8;0.499;5187;52;28
Norway;4.7;27;1.465;1.5;0.93;65800;83;96.3576013
Pakistan;4.2;33.5;2.789;20.2;0.402;5150;37.2;13.78
Panama;4.4;49.2;1.876;25.4;0.7;27003;68.4;59.9506309
Papua New Guinea;3;50.9;2.046;25.25;0.439;3833;13.3;11.20919659
Paraguay;5.2;46.2;1.976;23.55;0.638;12881;62.2;61.07575622
Peru;4.8;42.8;2.091;19.6;0.74;11871;78.3;50.45041218
Philippines;3.3;44.4;2.339;25.85;0.678;8452;47.4;41.6
Poland;5.1;29.7;1.552;7.85;0.869;34103;60;75.98536595
Portugal;5.7;33.8;1.301;15.15;0.768;34043;66.3;73.79121395
Qatar;5.1;41.1;1.533;27.15;0.659;93508;99.2;97.38884917
Romania;5;36;1.64;8.8;0.765;30526;56.4;63.74728218
Russia;5.5;37.5;3.275;-5.1;0.823;27903;74.8;76.00813853
Rwanda;3.8;43.7;1.945;17.85;0.458;2337;17.4;21.76763262
Saudi Arabia;4.5;45.9;2.288;24.65;0.789;46811;84.3;94.17559961
Senegal;3.9;40.3;1.916;27.85;0.345;3478;48.1;29.64312367
Serbia;5;36.2;1.832;10.55;0.783;19146;56.4;70.33083553
Sierra Leone;3.9;35.7;1.803;26.05;0.406;1725;42.9;13.23693043
Singapore;4.6;45.9;1.326;26.45;0.924;97057;100;84.45226789
Slovakia;5.1;25.2;1.499;6.8;0.826;32709;53.8;81.62566752
Slovenia;5.1;24.2;1.316;8.9;0.91;40067;55.1;78.88542636
South Africa;4.6;63;2.283;17.75;0.724;12032;67.4;56.16739447
South Korea;4.1;35.4;1.779;11.5;0.865;44621;81.4;95.06942188
